# ID     FLUX_G     FLUX_R      FLUX_I    FLUX_VIS   FLUX_Z     FLUX_Y   FLUX_J   FLUX_H   FLUXERR_G   FLUXERR_R   FLUXERR_I   FLUXERR_VIS   FLUXERR_Z   FLUXERR_Y   FLUXERR_J   FLUXERR_H   ZSPEC     AGN_FLAG   SUPER_ID  
  4002   1.607      3.655     7.108    7.281    8.704     10.49    11.82    16.13    0.0734    0.1077    0.2365    0.1061    0.1502    0.2208    0.219     0.2297    0.532     0        79658  
  4005   0.0851     0.3216    1.633    1.744    3.081     4.173    5.349    7.411    0.04589   0.06456   0.1473    0.05329   0.08837   0.08833   0.08563   0.09298   1.0384    0        80678  
  4009   0.02784    0.3005    0.958    1.348    2.2       3.624    4.674    6.851    0.04354   0.06104   0.1395    0.0493    0.08362   0.08186   0.07923   0.08628   1.0999    0        80756  
  4016   2.045      3.83      8.329    7.936    9.861     11.53    13.09    17.04    0.09066   0.1341    0.2924    0.1211    0.1898    0.3471    0.3491    0.3579    0.688     0        80087  
  4019   0.4229     0.3861    0.4925   0.4394   0.4724    0.7503   0.7229   0.827    0.04651   0.06472   0.1491    0.04351   0.08853   0.08442   0.0825    0.08916   1.2954    0        80888  
  4026   0.1752     0.7068    2.554    2.818    3.707     4.678    5.862    7.621    0.04719   0.06773   0.1519    0.07003   0.09369   0.1025    0.09966   0.1077    0.729     100      80420  
  4034   1.023      1.884     4.67     4.542    5.121     6.407    8.124    9.489    0.09356   0.1383    0.302     0.1244    0.1953    0.33      0.327     0.3403    0.719     0        79655  
  4036   0.1409     0.2206    0.6161   0.6895   0.9118    1.267    1.68     1.923    0.04533   0.0638    0.1456    0.05144   0.08748   0.08706   0.0842    0.09158   1.037     100      80765  
  4047   0.06429    0.2616    0.5419   0.3929   0.2775    0.3375   0.2887   0.3105   0.04419   0.06116   0.1416    0.03652   0.08336   0.07269   0.07001   0.07683   3.79      0        80864  
  4051   0.4915     0.8908    2.362    2.761    3.301     4.275    5.06     7.01     0.05649   0.08119   0.1817    0.07761   0.1126    0.1569    0.1567    0.1639    0.732     0        80381  
  4055   0.7558     0.9295    0.9878   0.9979   1.429     1.278    2.13     2.6      0.0536    0.07717   0.1726    0.06848   0.1075    0.1345    0.1338    0.142     3.06      100      80261  
  4058   0.45       0.6496    0.6821   0.7285   1.047     0.5443   0.7423   0.9257   0.05876   0.08533   0.1892    0.1053    0.119     0.1787    0.177     0.1847    0.039     0        80648  
  4062   0.8658     0.6266    1.11     1.292    2.084     2.208    2.201    2.795    0.05374   0.07662   0.1727    0.06559   0.1056    0.1213    0.1183    0.1271    1.296     0        80513  
  4066   0.295      0.5444    1.304    1.464    1.446     2.296    2.682    3.584    0.05071   0.07187   0.1628    0.0583    0.09861   0.1158    0.1139    0.1215    0.71273   0        80189  
  4068   0.1029     0.2168    0.4906   0.849    1.529     3.265    5.488    7.955    0.05074   0.07162   0.1628    0.061     0.09835   0.1088    0.1062    0.1143    1.6121    0        80033  
  4069   0.25       0.3623    0.5852   0.3387   0.446     0.5602   0.6717   0.8128   0.04566   0.06432   0.1466    0.04974   0.0883    0.09164   0.08903   0.09639   1.382     0        80507  
  4075   0.1351     0.2326    0.4377   0.3181   0.8159    0.6199   0.7815   0.9282   0.04211   0.05992   0.1355    0.04775   0.08275   0.08574   0.08297   0.09012   1.308     0        80564  
  4076   1.386      2.587     5.653    5.672    6.493     8.544    10.68    13.34    0.06759   0.0989    0.2177    0.1026    0.1381    0.227     0.2282    0.2353    0.6906    0        79823  
  4077   0.5051     1.061     1.539    1.449    1.91      1.623    1.777    1.806    0.04836   0.06795   0.1552    0.05448   0.09318   0.1005    0.09826   0.1057    0.251     0        80318  
  4087   0.3935     0.3934    0.4168   0.405    0.3402    0.849    0.8213   0.9528   0.04624   0.06571   0.1486    0.04842   0.09012   0.1062    0.1057    0.1119    1.375     0        80354  
  4090   1.145      2.262     5.597    5.737    7.45      8.967    11.83    15.14    0.06202   0.08894   0.1995    0.09005   0.1239    0.1749    0.1734    0.182     0.85373   0        79685  
  4092   0.5612     0.6147    1.155    1.09     0.8229    1.075    1.173    1.437    0.04806   0.06832   0.1546    0.05604   0.0937    0.1071    0.1053    0.1124    0.5628    0        80285  
  4096   4.496      16.48     36.68    39.36    51.8      72.71    111.5    172.4    0.1156    0.1717    0.3729    0.1896    0.2425    0.4225    0.4228    0.4359    0.242     100      78500  
  4110   0.1964     0.4893    0.9884   0.9519   1.437     2.067    2.505    3.519    0.05025   0.07436   0.1617    0.07635   0.1034    0.1469    0.1464    0.1534    1.004     0        80027  
  4117   1.243      2.656     4.835    4.953    5.682     7.014    7.103    8.905    0.09954   0.1483    0.3217    0.1341    0.2111    0.3788    0.3754    0.3901    0.511     0        79154  
  4119   0.2589     0.3885    0.9654   0.9397   1.334     2.026    2.974    4.095    0.04743   0.06912   0.1529    0.07333   0.09754   0.1502    0.1488    0.1558    1.619     101      79652  
  4131   -0.03436   0.2115    0.736    0.599    1.472     1.972    2.643    3.88     0.04131   0.05748   0.1323    0.03593   0.07824   0.06638   0.06359   0.07027   1.297     0        79847  
